user_id,session_ts,performance,sleep_hours,hr_variability,training_load,carbs_g,stress_level,resting_hr
weekend_warrior,2025-01-01,205,5.8,52,60,180,7,64
weekend_warrior,2025-01-02,215,6.5,56,75,220,6,63
weekend_warrior,2025-01-03,225,7.2,60,90,240,5,62
weekend_warrior,2025-01-04,235,7.8,63,110,260,4,61
weekend_warrior,2025-01-05,240,8.0,65,120,280,4,61
existing_elite,2025-01-01,335,7.5,78,140,350,3,50
existing_elite,2025-01-02,340,7.6,80,150,360,3,49
existing_elite,2025-01-03,350,7.8,82,160,370,3,49
existing_elite,2025-01-04,355,7.9,83,170,380,2,48
existing_elite,2025-01-05,360,8.0,84,180,390,2,48
young_talent,2025-01-01,225,6.8,58,80,220,5,60
young_talent,2025-01-02,235,7.0,60,90,230,5,59
young_talent,2025-01-03,245,7.2,62,100,250,4,58
young_talent,2025-01-04,255,7.4,64,110,270,4,57
young_talent,2025-01-05,265,7.6,66,120,290,3,56
